Scenario,LoadLevel,BrownLignite,CCGT_1,CCGT_2,CCGT_3,CCGT_4,DomesticCoal_Anthracite,ESS1,ESS2,ImportedCoal_Bituminous,ImportedCoal_SubBituminous,Nuclear1,Nuclear2,OCGT_1,OCGT_2,OCGT_3,SolarPV_1,SolarPV_2,WindFarm_1,WindFarm_2
sc01,01-01 00:00:00+01:00,0.0,129.85999999999999,0.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,452.376,678.564
sc01,01-01 01:00:00+01:00,0.0,123.4510390000001,0.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,416.752128,625.128192
sc01,01-01 02:00:00+01:00,0.0,110.60381000000031,0.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,386.548632,579.822948
sc01,01-01 03:00:00+01:00,0.0,88.40350000000008,0.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,370.847232,556.270848
sc01,01-01 04:00:00+01:00,0.0,97.31305200000018,0.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,348.1704,522.2556
sc01,01-01 05:00:00+01:00,0.0,147.63105999999982,0.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,323.84196,485.76294
sc01,01-01 06:00:00+01:00,0.0,185.2228039999998,0.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,307.400184,461.100276
sc01,01-01 07:00:00+01:00,0.0,277.2770269999999,0.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,278.94621600000005,418.419324
sc01,01-01 08:00:00+01:00,0.0,399.65059999999966,0.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.53832,0.35888000000000003,252.56124000000003,378.84186000000005
sc01,01-01 09:00:00+01:00,0.0,400.0,187.61856500000007,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,11.772495,7.848330000000001,213.077664,319.616496
sc01,01-01 10:00:00+01:00,0.0,400.0,303.2169870000002,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,29.815695,19.87713,187.216848,280.82527200000004
sc01,01-01 11:00:00+01:00,0.0,400.0,329.0953330000005,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,40.871895,27.24793,193.418712,290.12806800000004
sc01,01-01 12:00:00+01:00,0.0,400.0,289.3962930000001,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,45.92964,30.61976,203.42080800000002,305.131212
sc01,01-01 13:00:00+01:00,0.0,400.0,279.66808999999984,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,46.602285,31.06819,206.33882400000002,309.508236
sc01,01-01 14:00:00+01:00,0.0,400.0,316.47939400000024,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,44.12493,29.41662,207.704736,311.557104
sc01,01-01 15:00:00+01:00,0.0,400.0,400.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,37.142790000000005,24.76186,190.79553600000003,286.193304
sc01,01-01 16:00:00+01:00,0.0,400.0,400.0,100.35616199999997,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,22.91571,15.27714,180.473112,270.709668
sc01,01-01 17:00:00+01:00,0.0,400.0,400.0,171.88595800000027,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,5.17509,3.45006,191.37024,287.05536000000006
sc01,01-01 18:00:00+01:00,0.0,400.0,400.0,158.74890899999983,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,195.86484,293.79726
sc01,01-01 19:00:00+01:00,0.0,400.0,400.0,95.13404699999994,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,206.39325600000004,309.589884
sc01,01-01 20:00:00+01:00,0.0,400.0,400.0,9.14921000000013,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,220.29364800000002,330.440472
sc01,01-01 21:00:00+01:00,0.0,400.0,400.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,238.680864,358.021296
sc01,01-01 22:00:00+01:00,0.0,400.0,312.3306100000006,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,247.88397600000002,371.825964
sc01,01-01 23:00:00+01:00,0.0,400.0,185.86792299999988,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,248.76705600000003,373.150584
sc01,01-02 00:00:00+01:00,0.0,400.0,146.33265400000016,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,237.44988,356.17482
sc01,01-02 01:00:00+01:00,0.0,400.0,145.7309080000001,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,217.53136800000001,326.297052
sc01,01-02 02:00:00+01:00,0.0,400.0,122.57639700000011,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,212.61614400000002,318.924216
sc01,01-02 03:00:00+01:00,0.0,400.0,175.86938700000022,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,199.345968,299.018952
sc01,01-02 04:00:00+01:00,0.0,400.0,264.7285110000001,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,207.270936,310.906404
sc01,01-02 05:00:00+01:00,0.0,400.0,400.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,220.001472,330.002208
sc01,01-02 06:00:00+01:00,0.0,400.0,400.0,82.75369199999983,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,221.790744,332.686116
sc01,01-02 07:00:00+01:00,0.0,400.0,400.0,222.88226000000043,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,232.262928,348.394392
sc01,01-02 08:00:00+01:00,0.0,400.0,400.0,373.79039100000045,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.65583,0.43722,218.437272,327.655908
sc01,01-02 09:00:00+01:00,0.0,400.0,400.0,400.0,534.0,0.0,46.25659700000029,50.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,12.63789,8.42526,198.78444000000002,298.17666
sc01,01-02 10:00:00+01:00,0.0,400.0,400.0,400.0,534.0,0.0,100.0,50.0,51.853866000000416,0.0,300.0,300.0,0.0,0.0,0.0,30.12207,20.08138,159.784632,239.67694800000004
sc01,01-02 11:00:00+01:00,0.0,400.0,400.0,400.0,534.0,0.0,100.0,50.0,115.32620400000037,0.0,300.0,300.0,0.0,0.0,0.0,40.435785,26.95719,126.33976800000002,189.509652
sc01,01-02 12:00:00+01:00,34.28326800000059,400.0,400.0,400.0,534.0,0.0,100.0,50.0,116.60000000000002,0.0,300.0,300.0,0.0,0.0,0.0,44.65218,29.76812,102.638016,153.957024
sc01,01-02 13:00:00+01:00,0.0,400.0,400.0,400.0,534.0,0.0,100.0,50.0,116.60000000000002,28.24867200000025,300.0,300.0,0.0,0.0,0.0,44.476395,29.65093,96.63804,144.95706
sc01,01-02 14:00:00+01:00,0.0,400.0,400.0,400.0,534.0,0.0,100.0,50.0,116.60000000000002,58.790753000000585,300.0,300.0,0.0,0.0,0.0,40.983810000000005,27.32254,96.318216,144.477324
sc01,01-02 15:00:00+01:00,121.89999999999999,400.0,400.0,400.0,534.0,0.0,100.0,50.0,116.60000000000002,10.603213000000459,300.0,300.0,0.0,0.0,0.0,33.004545,22.00303,106.942392,160.413588
sc01,01-02 16:00:00+01:00,121.89999999999999,400.0,400.0,400.0,534.0,0.0,100.0,50.0,116.60000000000002,90.2,300.0,300.0,13.234296999999687,0.0,0.0,19.19916,12.79944,118.981584,178.472376
sc01,01-02 17:00:00+01:00,121.89999999999999,400.0,400.0,400.0,534.0,0.0,100.0,50.0,116.60000000000002,90.2,300.0,300.0,29.600743000000943,0.0,0.0,4.19826,2.79884,134.335008,201.502512
sc01,01-02 18:00:00+01:00,121.89999999999999,400.0,400.0,400.0,534.0,0.0,100.0,50.0,116.60000000000002,45.73957100000038,300.0,300.0,0.0,0.0,0.0,0.0,0.0,134.54964000000004,201.82446
sc01,01-02 19:00:00+01:00,68.54667100000056,400.0,400.0,400.0,534.0,0.0,100.0,50.0,116.60000000000002,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,132.375528,198.563292
sc01,01-02 20:00:00+01:00,0.0,400.0,400.0,400.0,534.0,0.0,100.0,50.0,81.98240500000031,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,124.914312,187.371468
sc01,01-02 21:00:00+01:00,0.0,400.0,400.0,400.0,534.0,0.0,43.54785600000055,50.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,130.700808,196.051212
sc01,01-02 22:00:00+01:00,0.0,400.0,400.0,315.9595830000002,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,141.973344,212.960016
sc01,01-02 23:00:00+01:00,0.0,400.0,400.0,182.8426430000001,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,138.408912,207.613368
sc01,01-03 00:00:00+01:00,0.0,400.0,400.0,111.29985600000003,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,134.172432,201.258648
sc01,01-03 01:00:00+01:00,0.0,400.0,400.0,27.757825000000125,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,143.413272,215.11990800000004
sc01,01-03 02:00:00+01:00,0.0,400.0,400.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,161.08164,241.62246
sc01,01-03 03:00:00+01:00,0.0,400.0,400.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,173.50452,260.25678000000005
sc01,01-03 04:00:00+01:00,0.0,400.0,400.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,188.525016,282.787524
sc01,01-03 05:00:00+01:00,0.0,400.0,400.0,150.59519500000042,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,201.637656,302.456484
sc01,01-03 06:00:00+01:00,0.0,400.0,400.0,310.74673600000045,534.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,219.687552,329.531328
sc01,01-03 07:00:00+01:00,0.0,400.0,400.0,400.0,534.0,0.0,0.0,47.79961700000068,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,233.91036000000003,350.86554
sc01,01-03 08:00:00+01:00,0.0,400.0,400.0,400.0,534.0,0.0,83.71394700000067,50.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.641955,0.42797,237.802896,356.704344
sc01,01-03 09:00:00+01:00,0.0,400.0,400.0,400.0,534.0,0.0,89.73025000000045,50.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,12.693255,8.46217,250.974792,376.462188
