Scenario,LoadLevel,CCGT_1,CCGT_2,CCGT_3,CCGT_4,CCGT_5,CCGT_6,CCGT_7,CCGT_8,Nuclear_1,Nuclear_2,OCGT_1
sc01,01-13 00:00:00+01:00,0.0284,0.0284,0.035500000000000004,0.035500000000000004,0.0426,0.0595080245609999,0.04970000000000001,0.04970000000000001,0.0,0.0,0.0
sc01,01-13 01:00:00+01:00,0.0284,0.0284,0.035500000000000004,0.035500000000000004,0.0426,0.0426,0.04970000000000001,0.04970000000000001,0.0,0.0,0.0
sc01,01-13 02:00:00+01:00,0.0284,0.0284,0.035500000000000004,0.035500000000000004,0.0426,0.0426,0.04970000000000001,0.04970000000000001,0.0,0.0,0.0
sc01,01-13 03:00:00+01:00,0.0284,0.0284,0.035500000000000004,0.035500000000000004,0.0426,0.0426,0.04970000000000001,0.04970000000000001,0.0,0.0,0.0
sc01,01-13 04:00:00+01:00,0.0284,0.0284,0.035500000000000004,0.035500000000000004,0.0426,0.0426,0.04970000000000001,0.04970000000000001,0.0,0.0,0.0
sc01,01-13 05:00:00+01:00,0.0284,0.0284,0.035500000000000004,0.035500000000000004,0.0426,0.0426,0.04970000000000001,0.04970000000000001,0.0,0.0,0.0
sc01,01-13 06:00:00+01:00,0.0284,0.0284,0.035500000000000004,0.035500000000000004,0.07253709117649987,0.1065,0.04970000000000001,0.04970000000000001,0.0,0.0,0.0
sc01,01-13 07:00:00+01:00,0.07100000000000001,0.0284,0.035500000000000004,0.035500000000000004,0.1065,0.1065,0.12061563116150004,0.04970000000000001,0.0,0.0,0.0
sc01,01-13 08:00:00+01:00,0.07100000000000001,0.0284,0.08875,0.035500000000000004,0.1065,0.1065,0.12425000000000001,0.12130732374511492,0.0,0.0,0.0
sc01,01-13 09:00:00+01:00,0.07100000000000001,0.04722205077924991,0.08875,0.035500000000000004,0.1065,0.1065,0.12425000000000001,0.12425000000000001,0.0,0.0,0.0
sc01,01-13 10:00:00+01:00,0.07100000000000001,0.0284,0.07622355065600002,0.035500000000000004,0.1065,0.1065,0.12425000000000001,0.04970000000000001,0.0,0.0,0.0
sc01,01-13 11:00:00+01:00,0.07100000000000001,0.0284,0.035500000000000004,0.035500000000000004,0.1065,0.1065,0.09600231314050008,0.04970000000000001,0.0,0.0,0.0
sc01,01-13 12:00:00+01:00,0.07100000000000001,0.0284,0.035500000000000004,0.035500000000000004,0.1065,0.1065,0.054134078155000105,0.04970000000000001,0.0,0.0,0.0
sc01,01-13 13:00:00+01:00,0.0284,0.0284,0.035500000000000004,0.035500000000000004,0.08140626694000004,0.1065,0.04970000000000001,0.04970000000000001,0.0,0.0,0.0
sc01,01-13 14:00:00+01:00,0.0284,0.0284,0.035500000000000004,0.035500000000000004,0.0426,0.0828846445244999,0.04970000000000001,0.04970000000000001,0.0,0.0,0.0
sc01,01-13 15:00:00+01:00,0.0284,0.0284,0.035500000000000004,0.035500000000000004,0.0426,0.08790450455849998,0.04970000000000001,0.04970000000000001,0.0,0.0,0.0
sc01,01-13 16:00:00+01:00,0.07100000000000001,0.0284,0.035500000000000004,0.035500000000000004,0.1065,0.1065,0.07174366649599984,0.04970000000000001,0.0,0.0,0.0
sc01,01-13 17:00:00+01:00,0.07100000000000001,0.07100000000000001,0.08875,0.08875,0.1065,0.1065,0.12425000000000001,0.12425000000000001,0.0,0.0,0.0
sc01,01-13 18:00:00+01:00,0.07100000000000001,0.07100000000000001,0.08875,0.08875,0.1065,0.1065,0.12425000000000001,0.12425000000000001,0.0,0.0,0.0
sc01,01-13 19:00:00+01:00,0.07100000000000001,0.07100000000000001,0.08875,0.08875,0.1065,0.1065,0.12425000000000001,0.12425000000000001,0.0,0.0,0.0
sc01,01-13 20:00:00+01:00,0.07100000000000001,0.07100000000000001,0.08875,0.08875,0.1065,0.1065,0.12425000000000001,0.12425000000000001,0.0,0.0,0.0
sc01,01-13 21:00:00+01:00,0.07100000000000001,0.07100000000000001,0.08875,0.041642955215999686,0.1065,0.1065,0.12425000000000001,0.12425000000000001,0.0,0.0,0.0
sc01,01-13 22:00:00+01:00,0.07100000000000001,0.0284,0.08875,0.035500000000000004,0.1065,0.1065,0.12425000000000001,0.09910583507199973,0.0,0.0,0.0
sc01,01-13 23:00:00+01:00,0.07100000000000001,0.0284,0.05386729945349997,0.035500000000000004,0.1065,0.1065,0.12425000000000001,0.04970000000000001,0.0,0.0,0.0
sc01,01-14 00:00:00+01:00,0.07100000000000001,0.0284,0.035500000000000004,0.035500000000000004,0.1065,0.1065,0.06522044113749996,0.04970000000000001,0.0,0.0,0.0
sc01,01-14 01:00:00+01:00,0.03353097616999987,0.0284,0.035500000000000004,0.035500000000000004,0.1065,0.1065,0.04970000000000001,0.04970000000000001,0.0,0.0,0.0
sc01,01-14 02:00:00+01:00,0.0284,0.0284,0.035500000000000004,0.035500000000000004,0.054160900250999934,0.1065,0.04970000000000001,0.04970000000000001,0.0,0.0,0.0
sc01,01-14 03:00:00+01:00,0.0284,0.0284,0.035500000000000004,0.035500000000000004,0.0426,0.08531395081099989,0.04970000000000001,0.04970000000000001,0.0,0.0,0.0
sc01,01-14 04:00:00+01:00,0.0284,0.0284,0.035500000000000004,0.035500000000000004,0.0426,0.043408219695999915,0.04970000000000001,0.04970000000000001,0.0,0.0,0.0
sc01,01-14 05:00:00+01:00,0.0284,0.0284,0.035500000000000004,0.035500000000000004,0.0426,0.05970294753499978,0.04970000000000001,0.04970000000000001,0.0,0.0,0.0
