Scenario,LoadLevel,Coal,ESS,Gas,Nuclear,RES
sc01,01-01 00:00:00+01:00,0.0,0.0,0.66386,0.6,1.1309399999999998
sc01,01-01 01:00:00+01:00,0.0,0.0,0.6574510390000001,0.6,1.0418803200000002
sc01,01-01 02:00:00+01:00,0.0,0.0,0.6446038100000003,0.6,0.96637158
sc01,01-01 03:00:00+01:00,0.0,0.0,0.6224035000000001,0.6,0.9271180800000001
sc01,01-01 04:00:00+01:00,0.0,0.0,0.6313130520000002,0.6,0.8704259999999999
sc01,01-01 05:00:00+01:00,0.0,0.0,0.6816310599999998,0.6,0.8096049000000001
sc01,01-01 06:00:00+01:00,0.0,0.0,0.7192228039999998,0.6,0.76850046
sc01,01-01 07:00:00+01:00,0.0,0.0,0.8112770269999999,0.6,0.6973655400000001
sc01,01-01 08:00:00+01:00,0.0,0.0,0.9336505999999997,0.6,0.6323002999999999
sc01,01-01 09:00:00+01:00,0.0,0.0,1.1216185650000001,0.6,0.5523149849999999
sc01,01-01 10:00:00+01:00,0.0,0.0,1.2372169870000003,0.6,0.5177349450000001
sc01,01-01 11:00:00+01:00,0.0,0.0,1.2630953330000005,0.6,0.5516666050000001
sc01,01-01 12:00:00+01:00,0.0,0.0,1.2233962930000002,0.6,0.58510142
sc01,01-01 13:00:00+01:00,0.0,0.0,1.2136680899999999,0.6,0.593517535
sc01,01-01 14:00:00+01:00,0.0,0.0,1.2504793940000003,0.6,0.5928033899999999
sc01,01-01 15:00:00+01:00,0.0,0.0,1.334,0.6,0.5388934900000001
sc01,01-01 16:00:00+01:00,0.0,0.0,1.434356162,0.6,0.48937563
sc01,01-01 17:00:00+01:00,0.0,0.0,1.5058859580000004,0.6,0.48705075
sc01,01-01 18:00:00+01:00,0.0,0.0,1.492748909,0.6,0.4896621
sc01,01-01 19:00:00+01:00,0.0,0.0,1.429134047,0.6,0.51598314
sc01,01-01 20:00:00+01:00,0.0,0.0,1.3431492100000002,0.6,0.55073412
sc01,01-01 21:00:00+01:00,0.0,0.0,1.334,0.6,0.59670216
sc01,01-01 22:00:00+01:00,0.0,0.0,1.2463306100000007,0.6,0.61970994
sc01,01-01 23:00:00+01:00,0.0,0.0,1.119867923,0.6,0.62191764
sc01,01-02 00:00:00+01:00,0.0,0.0,1.0803326540000002,0.6,0.5936247
sc01,01-02 01:00:00+01:00,0.0,0.0,1.0797309080000002,0.6,0.5438284200000001
