Scenario,LoadLevel,Battery,CCGT_1,CCGT_2,CCGT_3,CCGT_4,CCGT_5,CCGT_6,CCGT_7,CCGT_8,Nuclear_1,Nuclear_2,OCGT_1,PumpedHydro,SolarPV_1,SolarPV_2,StorageHydro,WindFarm_1,WindFarm_2
sc01,01-13 22:00:00+01:00,0.0,0.2,0.08,0.25,0.1,0.3,0.3,0.35000000000000003,0.27917136639999923,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.2994093802,0.19960625340000002
sc01,01-13 23:00:00+01:00,0.0,0.2,0.08,0.1517388716999999,0.1,0.3,0.3,0.35000000000000003,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.31588987700000004,0.2105932513
sc01,01-14 00:00:00+01:00,0.0,0.2,0.08,0.1,0.1,0.3,0.3,0.18371955249999988,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.33587606849999996,0.22391737900000003
sc01,01-14 01:00:00+01:00,0.0,0.09445345399999965,0.08,0.1,0.1,0.3,0.3,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.3371049276,0.2247366184
sc01,01-14 02:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.15256591619999982,0.3,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.3532980503,0.23553203350000002
sc01,01-14 03:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.12,0.2403209881999997,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.3487572071,0.2325048047
sc01,01-14 04:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.12,0.12227667519999975,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.3606217949,0.2404145299
sc01,01-14 05:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.12,0.16817731699999938,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.37499080980000005,0.2499938732
sc01,01-14 06:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.2354080896999996,0.3,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.37631394619999997,0.2508759641
sc01,01-14 07:00:00+01:00,0.0,0.2,0.08,0.1,0.1,0.3,0.3,0.27299741569999963,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.3825993506,0.2550662337
sc01,01-14 08:00:00+01:00,0.0,0.2,0.08,0.25,0.1,0.3,0.3,0.35000000000000003,0.19938469796799935,0.35000000000000003,0.35000000000000003,0.0,0.0,0.008378678719,0.005585785813,0.0,0.3930491025,0.262032735
sc01,01-14 09:00:00+01:00,0.0,0.2,0.08,0.18392350169999988,0.1,0.3,0.3,0.35000000000000003,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.1750525764,0.11670171759999999,0.0,0.4027111226,0.2684740817
sc01,01-14 10:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.2967353949999999,0.3,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.4489338396,0.2992892264,0.0,0.40238612339999996,0.2682574156
sc01,01-14 11:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.1293232428000003,0.3,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.5712161426,0.3808107617,0.0,0.4008557117,0.26723714120000003
sc01,01-14 12:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.12,0.20471774949999955,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.6182628694,0.4121752463,0.0,0.4101948809,0.2734632539
sc01,01-14 13:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.12,0.12,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.6396744705999999,0.42644964700000004,0.0,0.4441654896,0.2961103264
sc01,01-14 14:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.12,0.12,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.6467578565000001,0.43117190440000003,0.0,0.4765926745,0.3177284497
sc01,01-14 15:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.12,0.12,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.6116814027,0.4077876018,0.0,0.4939977158,0.32933181050000004
sc01,01-14 16:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.16838124870000015,0.3,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.43693695250000003,0.2912913017,0.0,0.4897598983,0.3265065988
sc01,01-14 17:00:00+01:00,0.0,0.2,0.08,0.25,0.1,0.3,0.3,0.35000000000000003,0.27320986567999933,0.35000000000000003,0.35000000000000003,0.0,0.0,0.1348529978,0.08990199852000001,0.0,0.5013954828,0.3342636552
sc01,01-14 18:00:00+01:00,0.0,0.2,0.2,0.25,0.18316372980299953,0.3,0.3,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,0.0,0.003912492238,0.0026083281590000003,0.0,0.5695490699,0.3796993799
sc01,01-14 19:00:00+01:00,0.03202782281500055,0.2,0.2,0.25,0.16269683858499906,0.3,0.3,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.6267194032,0.41781293540000003
sc01,01-14 20:00:00+01:00,0.0,0.2,0.16021434949999988,0.25,0.1,0.3,0.3,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.6393693903,0.4262462602
sc01,01-14 21:00:00+01:00,0.0,0.2,0.08,0.18271675639999968,0.1,0.3,0.3,0.35000000000000003,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.6479875462,0.43199169740000004
sc01,01-14 22:00:00+01:00,0.0,0.2,0.08,0.1,0.1,0.3,0.3,0.21496031579999958,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.6470242105,0.4313494737
sc01,01-14 23:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.27434158079999993,0.3,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.6492104515,0.4328069677
sc01,01-15 00:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.12,0.295591234,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.6508012596,0.43386750640000005
sc01,01-15 01:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.12,0.1949134818,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.6480483109,0.43203220729999997
sc01,01-15 02:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.12,0.12,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.6644348986,0.4429565991
sc01,01-15 03:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.12,0.23197818379999968,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.6188110897,0.4125407265
sc01,01-15 04:00:00+01:00,0.0,0.2,0.08,0.1,0.1,0.3,0.3,0.15492033729999982,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.5326983976,0.3551322651
sc01,01-15 05:00:00+01:00,0.0,0.2,0.08,0.25,0.1,0.3,0.3,0.35000000000000003,0.19525093679999933,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.5504934379,0.36699562529999996
sc01,01-15 06:00:00+01:00,0.023619537999999385,0.2,0.2,0.25,0.25,0.3,0.3,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.5552246772,0.37014978480000005
sc01,01-15 07:00:00+01:00,0.1,0.2,0.2,0.25,0.25,0.3,0.3,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.08415047379999888,0.6584541157,0.4389694105
sc01,01-15 08:00:00+01:00,0.0,0.2,0.2,0.25,0.25,0.3,0.3,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0071360787099999995,0.004757385807,0.3002089396830004,0.7055175575,0.4703450383
sc01,01-15 09:00:00+01:00,0.0,0.2,0.2,0.25,0.25,0.3,0.3,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,0.0,0.10652067750000001,0.07101378498,0.1844515978200007,0.7211177638,0.4807451759
sc01,01-15 10:00:00+01:00,0.0,0.2,0.2,0.25,0.13506536670000024,0.3,0.3,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,0.0,0.275478258,0.183652172,0.0,0.7258801220000001,0.4839200813
sc01,01-15 11:00:00+01:00,0.0,0.2,0.08,0.25,0.1,0.3,0.3,0.35000000000000003,0.2396427228000006,0.35000000000000003,0.35000000000000003,0.0,0.0,0.41615720520000005,0.2774381368,0.0,0.7034027611,0.4689351741
