Scenario,LoadLevel,ESS1,ESS2
sc01,01-01 00:00:00+01:00,500090.0,250047.5
sc01,01-01 01:00:00+01:00,500179.99999999994,250095.00000000003
sc01,01-01 02:00:00+01:00,500269.99999999994,250142.50000000003
sc01,01-01 03:00:00+01:00,500359.9999999999,250190.00000000006
sc01,01-01 04:00:00+01:00,500449.9999999999,250237.50000000006
sc01,01-01 05:00:00+01:00,500539.9999999998,250285.0000000001
sc01,01-01 06:00:00+01:00,500629.9999999998,250332.5000000001
sc01,01-01 07:00:00+01:00,500719.9999999998,250380.00000000012
sc01,01-01 08:00:00+01:00,500809.99999999977,250427.50000000012
sc01,01-01 09:00:00+01:00,500899.99999999977,250475.00000000015
sc01,01-01 10:00:00+01:00,500989.9999999997,250522.50000000015
sc01,01-01 11:00:00+01:00,501079.9999999997,250570.00000000017
sc01,01-01 12:00:00+01:00,501169.99999999965,250617.50000000017
sc01,01-01 13:00:00+01:00,501259.99999999965,250665.0000000002
sc01,01-01 14:00:00+01:00,501349.99999999965,250712.5000000002
sc01,01-01 15:00:00+01:00,501417.1704577996,250712.5000000002
sc01,01-01 16:00:00+01:00,501417.1704577996,250712.5000000002
sc01,01-01 17:00:00+01:00,501417.1704577996,250712.5000000002
sc01,01-01 18:00:00+01:00,501417.1704577996,250712.5000000002
sc01,01-01 19:00:00+01:00,501417.1704577996,250712.5000000002
sc01,01-01 20:00:00+01:00,501417.1704577996,250712.5000000002
sc01,01-01 21:00:00+01:00,501507.17045779957,250715.39330955019
sc01,01-01 22:00:00+01:00,501597.17045779957,250762.8933095502
sc01,01-01 23:00:00+01:00,501687.1704577995,250810.3933095502
sc01,01-02 00:00:00+01:00,501777.1704577995,250857.89330955024
sc01,01-02 01:00:00+01:00,501867.1704577995,250905.39330955024
sc01,01-02 02:00:00+01:00,501957.17045779945,250952.89330955027
sc01,01-02 03:00:00+01:00,502047.17045779945,251000.39330955027
sc01,01-02 04:00:00+01:00,502137.1704577994,251047.8933095503
sc01,01-02 05:00:00+01:00,502227.1704577994,251064.21426585029
sc01,01-02 06:00:00+01:00,502227.1704577994,251064.21426585029
sc01,01-02 07:00:00+01:00,502227.1704577994,251064.21426585029
sc01,01-02 08:00:00+01:00,502227.1704577994,251064.21426585029
sc01,01-02 09:00:00+01:00,502180.91386079934,251014.21426585029
sc01,01-02 10:00:00+01:00,502080.91386079934,250964.21426585029
sc01,01-02 11:00:00+01:00,501980.91386079934,250914.21426585026
sc01,01-02 12:00:00+01:00,501880.9138607993,250864.21426585026
sc01,01-02 13:00:00+01:00,501780.9138607993,250814.21426585023
sc01,01-02 14:00:00+01:00,501680.9138607993,250764.21426585023
sc01,01-02 15:00:00+01:00,501580.9138607992,250714.21426585023
sc01,01-02 16:00:00+01:00,501480.9138607992,250664.2142658502
sc01,01-02 17:00:00+01:00,501380.91386079916,250614.2142658502
sc01,01-02 18:00:00+01:00,501280.91386079916,250564.21426585017
sc01,01-02 19:00:00+01:00,501180.91386079916,250514.21426585017
sc01,01-02 20:00:00+01:00,501080.9138607991,250464.21426585017
sc01,01-02 21:00:00+01:00,501037.36600479914,250414.21426585014
sc01,01-02 22:00:00+01:00,501037.36600479914,250414.21426585014
sc01,01-02 23:00:00+01:00,501037.36600479914,250414.21426585014
sc01,01-03 00:00:00+01:00,501037.36600479914,250414.21426585014
sc01,01-03 01:00:00+01:00,501037.36600479914,250414.21426585014
sc01,01-03 02:00:00+01:00,501086.0698764991,250414.21426585014
sc01,01-03 03:00:00+01:00,501146.37295554136,250420.99705765003
sc01,01-03 04:00:00+01:00,501146.37295554136,250437.95854195004
sc01,01-03 05:00:00+01:00,501146.37295554136,250437.95854195004
sc01,01-03 06:00:00+01:00,501146.37295554136,250437.95854195004
sc01,01-03 07:00:00+01:00,501146.37295554136,250390.15892495002
sc01,01-03 08:00:00+01:00,501062.6590085414,250340.15892495
sc01,01-03 09:00:00+01:00,500972.9287585414,250290.15892495
sc01,01-03 10:00:00+01:00,500894.6274015414,250240.15892494997
sc01,01-03 11:00:00+01:00,500814.7088415414,250190.15892494997
sc01,01-03 12:00:00+01:00,500724.1719265414,250140.15892494997
sc01,01-03 13:00:00+01:00,500692.5904595414,250090.15892494994
sc01,01-03 14:00:00+01:00,500681.33498054143,250040.15892494994
sc01,01-03 15:00:00+01:00,500610.85370054137,249990.15892494994
sc01,01-03 16:00:00+01:00,500510.85370054137,249940.1589249499
sc01,01-03 17:00:00+01:00,500410.8537005413,249890.1589249499
sc01,01-03 18:00:00+01:00,500410.8537005413,249884.94755194988
sc01,01-03 19:00:00+01:00,500410.8537005413,249884.94755194988
sc01,01-03 20:00:00+01:00,500410.8537005413,249884.94755194988
sc01,01-03 21:00:00+01:00,500459.0198672413,249884.94755194988
sc01,01-03 22:00:00+01:00,500549.0198672413,249932.4475519499
sc01,01-03 23:00:00+01:00,500639.0198672413,249979.9475519499
sc01,01-04 00:00:00+01:00,500729.01986724127,250027.44755194994
sc01,01-04 01:00:00+01:00,500819.01986724127,250074.94755194994
sc01,01-04 02:00:00+01:00,500909.0198672412,250122.44755194997
sc01,01-04 03:00:00+01:00,500999.0198672412,250169.94755194997
sc01,01-04 04:00:00+01:00,501089.01986724115,250217.44755195
sc01,01-04 05:00:00+01:00,501179.01986724115,250264.94755195
sc01,01-04 06:00:00+01:00,501179.01986724115,250306.873616
sc01,01-04 07:00:00+01:00,501179.01986724115,250306.873616
sc01,01-04 08:00:00+01:00,501179.01986724115,250306.873616
sc01,01-04 09:00:00+01:00,501179.01986724115,250306.873616
sc01,01-04 10:00:00+01:00,501179.01986724115,250306.873616
sc01,01-04 11:00:00+01:00,501179.01986724115,250306.873616
sc01,01-04 12:00:00+01:00,501179.01986724115,250303.21519999998
sc01,01-04 13:00:00+01:00,501179.01986724115,250298.05494799998
sc01,01-04 14:00:00+01:00,501176.5018162412,250248.05494799998
sc01,01-04 15:00:00+01:00,501076.5018162411,250198.05494799998
sc01,01-04 16:00:00+01:00,500976.5018162411,250148.05494799995
sc01,01-04 17:00:00+01:00,500876.5018162411,250098.05494799995
sc01,01-04 18:00:00+01:00,500776.50181624107,250048.05494799992
sc01,01-04 19:00:00+01:00,500764.82250324107,249998.05494799992
sc01,01-04 20:00:00+01:00,500764.82250324107,249998.05494799992
sc01,01-04 21:00:00+01:00,500764.82250324107,249998.05494799992
sc01,01-04 22:00:00+01:00,500764.82250324107,249998.05494799992
sc01,01-04 23:00:00+01:00,500764.82250324107,249998.05494799992
sc01,01-05 00:00:00+01:00,500764.82250324107,249998.05494799992
sc01,01-05 01:00:00+01:00,500764.82250324107,249998.05494799992
sc01,01-05 02:00:00+01:00,500764.82250324107,249998.05494799992
sc01,01-05 03:00:00+01:00,500764.82250324107,249998.05494799992
sc01,01-05 04:00:00+01:00,500764.82250324107,249998.05494799992
sc01,01-05 05:00:00+01:00,500716.30457424105,249948.05494799992
sc01,01-05 06:00:00+01:00,500616.30457424105,249898.0549479999
sc01,01-05 07:00:00+01:00,500516.30457424105,249848.0549479999
sc01,01-05 08:00:00+01:00,500416.304574241,249798.05494799986
sc01,01-05 09:00:00+01:00,500316.304574241,249748.05494799986
sc01,01-05 10:00:00+01:00,500216.30457424093,249698.05494799986
sc01,01-05 11:00:00+01:00,500116.30457424093,249648.05494799983
sc01,01-05 12:00:00+01:00,500016.30457424093,249598.05494799983
sc01,01-05 13:00:00+01:00,499916.3045742409,249548.05494799983
sc01,01-05 14:00:00+01:00,499816.3045742409,249498.0549479998
sc01,01-05 15:00:00+01:00,499716.3045742408,249448.0549479998
sc01,01-05 16:00:00+01:00,499616.3045742408,249398.05494799977
sc01,01-05 17:00:00+01:00,499516.3045742408,249348.05494799977
sc01,01-05 18:00:00+01:00,499416.30457424076,249298.05494799977
sc01,01-05 19:00:00+01:00,499316.30457424076,249248.05494799974
sc01,01-05 20:00:00+01:00,499216.3045742407,249198.05494799974
sc01,01-05 21:00:00+01:00,499170.58248224074,249148.0549479997
sc01,01-05 22:00:00+01:00,499170.58248224074,249195.55494799974
sc01,01-05 23:00:00+01:00,499170.58248224074,249243.05494799974
sc01,01-06 00:00:00+01:00,499170.58248224074,249290.55494799977
sc01,01-06 01:00:00+01:00,499243.28801294067,249338.05494799977
sc01,01-06 02:00:00+01:00,499333.28801294067,249385.5549479998
sc01,01-06 03:00:00+01:00,499423.28801294067,249433.0549479998
sc01,01-06 04:00:00+01:00,499513.2880129406,249480.55494799983
sc01,01-06 05:00:00+01:00,499603.2880129406,249528.05494799983
sc01,01-06 06:00:00+01:00,499693.28801294055,249575.55494799986
sc01,01-06 07:00:00+01:00,499749.55698674056,249623.05494799986
sc01,01-06 08:00:00+01:00,499749.55698674056,249670.5549479999
sc01,01-06 09:00:00+01:00,499749.55698674056,249718.0549479999
sc01,01-06 10:00:00+01:00,499749.55698674056,249765.5549479999
sc01,01-06 11:00:00+01:00,499749.55698674056,249813.05494799992
sc01,01-06 12:00:00+01:00,499769.9527012406,249860.55494799992
sc01,01-06 13:00:00+01:00,499769.9527012406,249908.05494799995
sc01,01-06 14:00:00+01:00,499769.9527012406,249955.55494799995
sc01,01-06 15:00:00+01:00,499769.9527012406,249947.07024099995
sc01,01-06 16:00:00+01:00,499669.95270124055,249897.07024099995
sc01,01-06 17:00:00+01:00,499569.95270124055,249847.07024099992
sc01,01-06 18:00:00+01:00,499469.9527012405,249797.07024099992
sc01,01-06 19:00:00+01:00,499461.6199172405,249747.0702409999
sc01,01-06 20:00:00+01:00,499510.5937178405,249794.57024099992
sc01,01-06 21:00:00+01:00,499600.59371784044,249842.07024099992
sc01,01-06 22:00:00+01:00,499690.59371784044,249889.57024099995
sc01,01-06 23:00:00+01:00,499780.59371784044,249937.07024099995
sc01,01-07 00:00:00+01:00,499870.5937178404,249984.57024099998
sc01,01-07 01:00:00+01:00,499960.5937178404,250032.07024099998
sc01,01-07 02:00:00+01:00,500050.5937178403,250079.570241
sc01,01-07 03:00:00+01:00,500140.5937178403,250127.070241
sc01,01-07 04:00:00+01:00,500230.59371784027,250174.57024100004
sc01,01-07 05:00:00+01:00,500320.59371784027,250222.07024100004
sc01,01-07 06:00:00+01:00,500324.86624810024,250269.57024100007
sc01,01-07 07:00:00+01:00,500414.86624810024,250317.07024100007
sc01,01-07 08:00:00+01:00,500504.8662481002,250364.57024100007
sc01,01-07 09:00:00+01:00,500554.4988937002,250412.0702410001
sc01,01-07 10:00:00+01:00,500554.4988937002,250397.1436990001
sc01,01-07 11:00:00+01:00,500543.7026837002,250347.14369900007
sc01,01-07 12:00:00+01:00,500543.7026837002,250311.59755100007
