,,Demand
sc01,01-18 18:00:00+01:00,4376.636
sc01,01-18 19:00:00+01:00,4338.65
sc01,01-18 20:00:00+01:00,3983.336
sc01,01-18 21:00:00+01:00,3517.492
sc01,01-18 22:00:00+01:00,3312.009
sc01,01-18 23:00:00+01:00,2766.801
sc01,01-19 00:00:00+01:00,2653.01
sc01,01-19 01:00:00+01:00,2570.666
sc01,01-19 02:00:00+01:00,2496.376
sc01,01-19 03:00:00+01:00,2558.642
sc01,01-19 04:00:00+01:00,2756.985
sc01,01-19 05:00:00+01:00,3108.546
sc01,01-19 06:00:00+01:00,3485.925
sc01,01-19 07:00:00+01:00,3770.341
sc01,01-19 08:00:00+01:00,3953.673
sc01,01-19 09:00:00+01:00,4033.05
sc01,01-19 10:00:00+01:00,4036.812
sc01,01-19 11:00:00+01:00,3983.377
sc01,01-19 12:00:00+01:00,3876.078
sc01,01-19 13:00:00+01:00,3760.586
sc01,01-19 14:00:00+01:00,3712.381
sc01,01-19 15:00:00+01:00,3717.428
sc01,01-19 16:00:00+01:00,3836.117
sc01,01-19 17:00:00+01:00,4045.74
sc01,01-19 18:00:00+01:00,4200.742
sc01,01-19 19:00:00+01:00,4149.449
sc01,01-19 20:00:00+01:00,3812.977
sc01,01-19 21:00:00+01:00,3381.752
sc01,01-19 22:00:00+01:00,3204.922
sc01,01-19 23:00:00+01:00,2628.983
sc02,01-13 00:00:00+01:00,2540.015
sc02,01-13 01:00:00+01:00,2405.413
sc02,01-13 02:00:00+01:00,2289.343
sc02,01-13 03:00:00+01:00,2249.273
sc02,01-13 04:00:00+01:00,2247.364
sc02,01-13 05:00:00+01:00,2391.323
sc02,01-13 06:00:00+01:00,2690.142
sc02,01-13 07:00:00+01:00,3042.78
sc02,01-13 08:00:00+01:00,3353.327
sc02,01-13 09:00:00+01:00,3523.15
sc02,01-13 10:00:00+01:00,3579.721
sc02,01-13 11:00:00+01:00,3593.505
sc02,01-13 12:00:00+01:00,3542.655
sc02,01-13 13:00:00+01:00,3412.772
sc02,01-13 14:00:00+01:00,3319.661
sc02,01-13 15:00:00+01:00,3309.616
sc02,01-13 16:00:00+01:00,3439.218
sc02,01-13 17:00:00+01:00,3633.153
sc02,01-13 18:00:00+01:00,3784.567
sc02,01-13 19:00:00+01:00,3841.973
sc02,01-13 20:00:00+01:00,3651.376
sc02,01-13 21:00:00+01:00,3277.227
sc02,01-13 22:00:00+01:00,3058.187
sc02,01-13 23:00:00+01:00,2848.222
sc02,01-14 00:00:00+01:00,2663.513
sc02,01-14 01:00:00+01:00,2516.295
sc02,01-14 02:00:00+01:00,2381.396
sc02,01-14 03:00:00+01:00,2281.583
sc02,01-14 04:00:00+01:00,2183.313
sc02,01-14 05:00:00+01:00,2253.162
sc02,01-14 06:00:00+01:00,2502.598
sc02,01-14 07:00:00+01:00,2830.663
sc02,01-14 08:00:00+01:00,3148.431
sc02,01-14 09:00:00+01:00,3316.863
sc02,01-14 10:00:00+01:00,3355.602
sc02,01-14 11:00:00+01:00,3389.443
sc02,01-14 12:00:00+01:00,3378.814
