,,Demand
mean,01-17 06:00:00+01:00,3781.706
mean,01-17 07:00:00+01:00,4074.208
mean,01-17 08:00:00+01:00,4236.577
mean,01-17 09:00:00+01:00,4271.958
mean,01-17 10:00:00+01:00,4228.956
mean,01-17 11:00:00+01:00,4145.842
mean,01-17 12:00:00+01:00,4014.751
mean,01-17 13:00:00+01:00,3869.911
mean,01-17 14:00:00+01:00,3805.628
mean,01-17 15:00:00+01:00,3814.071
mean,01-17 16:00:00+01:00,3971.893
mean,01-17 17:00:00+01:00,4258.437
mean,01-17 18:00:00+01:00,4487.346
mean,01-17 19:00:00+01:00,4451.024
mean,01-17 20:00:00+01:00,4088.297
mean,01-17 21:00:00+01:00,3607.736
mean,01-17 22:00:00+01:00,3384.677
mean,01-17 23:00:00+01:00,2884.017
mean,01-18 00:00:00+01:00,2752.892
mean,01-18 01:00:00+01:00,2662.411
mean,01-18 02:00:00+01:00,2587.024
mean,01-18 03:00:00+01:00,2650.876
mean,01-18 04:00:00+01:00,2872.016
mean,01-18 05:00:00+01:00,3272.486
mean,01-18 06:00:00+01:00,3691.721
mean,01-18 07:00:00+01:00,3990.009
mean,01-18 08:00:00+01:00,4164.576
mean,01-18 09:00:00+01:00,4217.529
mean,01-18 10:00:00+01:00,4192.172
mean,01-18 11:00:00+01:00,4117.041
mean,01-18 12:00:00+01:00,3987.646
mean,01-18 13:00:00+01:00,3847.58
mean,01-18 14:00:00+01:00,3786.426
mean,01-18 15:00:00+01:00,3789.242
mean,01-18 16:00:00+01:00,3921.296
mean,01-18 17:00:00+01:00,4171.23
mean,01-18 18:00:00+01:00,4376.636
mean,01-18 19:00:00+01:00,4338.65
mean,01-18 20:00:00+01:00,3983.336
mean,01-18 21:00:00+01:00,3517.492
mean,01-18 22:00:00+01:00,3312.009
mean,01-18 23:00:00+01:00,2766.801
mean,01-19 00:00:00+01:00,2653.01
mean,01-19 01:00:00+01:00,2570.666
mean,01-19 02:00:00+01:00,2496.376
mean,01-19 03:00:00+01:00,2558.642
mean,01-19 04:00:00+01:00,2756.985
mean,01-19 05:00:00+01:00,3108.546
mean,01-19 06:00:00+01:00,3485.925
mean,01-19 07:00:00+01:00,3770.341
mean,01-19 08:00:00+01:00,3953.673
mean,01-19 09:00:00+01:00,4033.05
mean,01-19 10:00:00+01:00,4036.812
mean,01-19 11:00:00+01:00,3983.377
mean,01-19 12:00:00+01:00,3876.078
mean,01-19 13:00:00+01:00,3760.586
mean,01-19 14:00:00+01:00,3712.381
mean,01-19 15:00:00+01:00,3717.428
mean,01-19 16:00:00+01:00,3836.117
mean,01-19 17:00:00+01:00,4045.74
mean,01-19 18:00:00+01:00,4200.742
mean,01-19 19:00:00+01:00,4149.449
mean,01-19 20:00:00+01:00,3812.977
mean,01-19 21:00:00+01:00,3381.752
mean,01-19 22:00:00+01:00,3204.922
mean,01-19 23:00:00+01:00,2628.983
