Scenario,LoadLevel,Battery,PumpedHydro,StorageHydro
sc01,01-16 18:00:00+01:00,0.0,0.0,0.0
sc01,01-16 19:00:00+01:00,0.0,0.0,0.0
sc01,01-16 20:00:00+01:00,0.0,0.0,0.0
sc01,01-16 21:00:00+01:00,0.0,0.0,0.0
sc01,01-16 22:00:00+01:00,0.0,0.0,0.0
sc01,01-16 23:00:00+01:00,0.0,0.0,0.0
sc01,01-17 00:00:00+01:00,72.4685710000003,0.0,0.0
sc01,01-17 01:00:00+01:00,43.87923810000043,0.0,0.0
sc01,01-17 02:00:00+01:00,89.14756550000062,0.0,0.0
sc01,01-17 03:00:00+01:00,5.030941189472344,88.26461561052771,0.0
sc01,01-17 04:00:00+01:00,0.0,0.0,0.0
sc01,01-17 05:00:00+01:00,0.0,0.0,0.0
sc01,01-17 06:00:00+01:00,0.0,0.0,0.0
sc01,01-17 07:00:00+01:00,0.0,0.0,0.0
sc01,01-17 08:00:00+01:00,0.0,0.0,0.0
sc01,01-17 09:00:00+01:00,0.0,0.0,0.0
sc01,01-17 10:00:00+01:00,0.0,0.0,0.0
sc01,01-17 11:00:00+01:00,0.0,0.0,0.0
sc01,01-17 12:00:00+01:00,0.0,0.0,0.0
sc01,01-17 13:00:00+01:00,0.0,0.0,0.0
sc01,01-17 14:00:00+01:00,0.0,0.0,0.0
sc01,01-17 15:00:00+01:00,0.0,0.0,0.0
sc01,01-17 16:00:00+01:00,0.0,0.0,0.0
sc01,01-17 17:00:00+01:00,0.0,0.0,0.0
sc01,01-17 18:00:00+01:00,0.0,0.0,0.0
sc01,01-17 19:00:00+01:00,0.0,0.0,0.0
sc01,01-17 20:00:00+01:00,0.0,0.0,0.0
sc01,01-17 21:00:00+01:00,0.0,0.0,0.0
sc01,01-17 22:00:00+01:00,0.0,0.0,0.0
sc01,01-17 23:00:00+01:00,0.0,0.0,0.0
sc01,01-18 00:00:00+01:00,98.47300690000053,0.0,0.0
sc01,01-18 01:00:00+01:00,53.98073130000029,0.0,0.0
sc01,01-18 02:00:00+01:00,58.072577589472864,27.09956121052737,0.0
sc01,01-18 03:00:00+01:00,0.0,0.0,0.0
sc01,01-18 04:00:00+01:00,0.0,0.0,0.0
sc01,01-18 05:00:00+01:00,0.0,0.0,0.0
sc01,01-18 06:00:00+01:00,0.0,0.0,0.0
sc01,01-18 07:00:00+01:00,0.0,0.0,0.0
sc01,01-18 08:00:00+01:00,0.0,0.0,0.0
sc01,01-18 09:00:00+01:00,0.0,0.0,0.0
sc01,01-18 10:00:00+01:00,0.0,0.0,0.0
sc01,01-18 11:00:00+01:00,0.0,0.0,0.0
sc01,01-18 12:00:00+01:00,0.0,0.0,0.0
sc01,01-18 13:00:00+01:00,48.616021395618155,0.0,0.0
sc01,01-18 14:00:00+01:00,0.0,0.0,0.0
sc01,01-18 15:00:00+01:00,0.0,0.0,0.0
sc01,01-18 16:00:00+01:00,0.0,0.0,0.0
sc01,01-18 17:00:00+01:00,0.0,0.0,0.0
sc01,01-18 18:00:00+01:00,0.0,0.0,0.0
sc01,01-18 19:00:00+01:00,0.0,0.0,0.0
sc01,01-18 20:00:00+01:00,0.0,0.0,0.0
sc01,01-18 21:00:00+01:00,0.0,0.0,0.0
sc01,01-18 22:00:00+01:00,0.0,0.0,0.0
sc01,01-18 23:00:00+01:00,0.0,0.0,0.0
sc01,01-19 00:00:00+01:00,0.0,0.0,0.0
sc01,01-19 01:00:00+01:00,0.0,0.0,0.0
sc01,01-19 02:00:00+01:00,0.0,0.0,0.0
sc01,01-19 03:00:00+01:00,0.0,0.0,0.0
sc01,01-19 04:00:00+01:00,0.0,0.0,0.0
sc01,01-19 05:00:00+01:00,0.0,0.0,0.0
sc01,01-19 06:00:00+01:00,0.0,0.0,0.0
sc01,01-19 07:00:00+01:00,0.0,0.0,0.0
sc01,01-19 08:00:00+01:00,0.0,0.0,0.0
sc01,01-19 09:00:00+01:00,0.0,0.0,0.0
sc01,01-19 10:00:00+01:00,0.0,0.0,0.0
sc01,01-19 11:00:00+01:00,0.0,0.0,0.0
sc01,01-19 12:00:00+01:00,0.0,0.0,0.0
sc01,01-19 13:00:00+01:00,38.269909000000105,0.0,0.0
sc01,01-19 14:00:00+01:00,9.577302700000178,0.0,0.0
sc01,01-19 15:00:00+01:00,0.0,0.0,0.0
sc01,01-19 16:00:00+01:00,0.0,0.0,0.0
sc01,01-19 17:00:00+01:00,0.0,0.0,0.0
sc01,01-19 18:00:00+01:00,0.0,0.0,0.0
sc01,01-19 19:00:00+01:00,0.0,0.0,0.0
sc01,01-19 20:00:00+01:00,0.0,0.0,0.0
sc01,01-19 21:00:00+01:00,0.0,0.0,0.0
sc01,01-19 22:00:00+01:00,0.0,0.0,0.0
sc01,01-19 23:00:00+01:00,0.0,0.0,0.0
sc02,01-13 00:00:00+01:00,0.0,0.0,0.0
sc02,01-13 01:00:00+01:00,2.288571156906907,37.166988743093064,0.0
sc02,01-13 02:00:00+01:00,16.213795437829884,0.0,0.0
sc02,01-13 03:00:00+01:00,0.0,54.07628170000026,0.0
sc02,01-13 04:00:00+01:00,86.76079130000005,0.0,0.0
sc02,01-13 05:00:00+01:00,0.0,0.0,0.0
sc02,01-13 06:00:00+01:00,0.0,0.0,0.0
sc02,01-13 07:00:00+01:00,0.0,0.0,0.0
sc02,01-13 08:00:00+01:00,0.0,0.0,0.0
sc02,01-13 09:00:00+01:00,0.0,0.0,0.0
sc02,01-13 10:00:00+01:00,0.0,0.0,0.0
sc02,01-13 11:00:00+01:00,0.0,0.0,0.0
sc02,01-13 12:00:00+01:00,0.0,0.0,0.0
sc02,01-13 13:00:00+01:00,0.0,0.0,0.0
sc02,01-13 14:00:00+01:00,0.0,0.0,0.0
sc02,01-13 15:00:00+01:00,0.0,0.0,0.0
sc02,01-13 16:00:00+01:00,0.0,0.0,0.0
sc02,01-13 17:00:00+01:00,0.0,0.0,0.0
sc02,01-13 18:00:00+01:00,0.0,0.0,0.0
sc02,01-13 19:00:00+01:00,0.0,0.0,0.0
sc02,01-13 20:00:00+01:00,0.0,0.0,0.0
sc02,01-13 21:00:00+01:00,0.0,0.0,0.0
sc02,01-13 22:00:00+01:00,0.0,0.0,0.0
sc02,01-13 23:00:00+01:00,0.0,0.0,0.0
sc02,01-14 00:00:00+01:00,0.0,0.0,0.0
sc02,01-14 01:00:00+01:00,0.0,0.0,0.0
